s1,Moaz Mohammed,m0az$3,moaz123$!,moaz@gmail.com,c1/c3/c4/c5/c8/c2/c9,s2/s5/s7/s10/s3/s4,
s2,Ahmed Ali,ahmed_ali,ahmedAli$2,ahmed.ali@gmail.com,,s1/s8,
s3,Sara Youssef,sara.yf,saraYf#1,sara.youssef@gmail.com,,s1,
s4,Noor Hassan,noor_hs,noorHs@4,noor.hassan@gmail.com,c1/c3/c4,s10/s1,
s5,Amr Fathy,amr.fathy,amrFathy$5,amr.fathy@gmail.com,c1/c3,s1/s10,
s6,Laila Samir,laila_smr,lailaSmr!6,laila.samir@gmail.com,,,s1/s2
s7,Omar Adel,omar.adel,omarAdel#7,omar.adel@gmail.com,c1/c3/c4,s1/s10,s8/s9
s8,Mona Khaled,mona_kh,monaKh@8,mona.khaled@gmail.com,c5,s2,s1
s9,Hana Tarek,hana.trk,hanaTrk$9,hana.tarek@gmail.com,c1/c3/c4,,s5/s8
s10,Youssef Nabil,youssef_nb,youssefNb!10,youssef.nabil@gmail.com,,s1/s11/s4/s5/s7,
s11,Mazen Hassan,mazen12,mosat@4sg5S,mazen@gmail.com,c1,s10,s1
s12,Youssef Ahmed,you@s1,gS2s3#gasd,m@f.m,,,
s13,Coding Pro,codep,Co5@3dDda,coding@gmail.com,,,
